seqnames	start	end	strand	is_uncertain	rep_prob
chr1	629847	630037	*	FALSE	0.33968505054897
chr1	633940	634120	*	FALSE	0.50243385304439
chr1	778528	778976	*	FALSE	1
chr1	819820	820211	*	TRUE	1
chr1	827230	827778	*	TRUE	1
chr1	831720	831900	*	FALSE	0.701937101382644
chr1	842860	843180	*	FALSE	1
chr1	869720	870251	*	TRUE	1
chr1	904573	904964	*	FALSE	1
chr1	906681	907147	*	FALSE	1
chr1	911051	911326	*	FALSE	0.4238856296806
chr1	911328	911543	*	FALSE	0.4238856296806
chr1	921129	921326	*	FALSE	1
chr1	938398	938697	*	TRUE	1
chr1	941538	941915	*	TRUE	1
chr1	942107	942440	*	TRUE	1
chr1	942468	942780	*	TRUE	1
chr1	943036	943460	*	TRUE	1
chr1	959163	959362	*	FALSE	0.10079933987118
chr1	960465	960649	*	FALSE	1
chr1	966118	966560	*	TRUE	1
chr1	966868	967130	*	FALSE	0.658098464438032
chr1	975941	976365	*	TRUE	1
chr1	976429	976753	*	TRUE	1
chr1	978060	978452	*	TRUE	1
chr1	980430	980980	*	TRUE	1
chr1	984256	984482	*	TRUE	1
chr1	999994	1000414	*	FALSE	0.216911313099156
chr1	820213	820553	*	TRUE	1
chr1	842680	842855	*	TRUE	1
chr1	904328	904571	*	TRUE	1
chr1	907149	907357	*	TRUE	1
chr1	938699	939120	*	TRUE	1
chr1	959364	959606	*	TRUE	1
chr1	966677	966866	*	TRUE	1
chr1	978454	978798	*	TRUE	1
