seqnames	start	end	strand	is_uncertain	rep_prob
chr1	267958	268081	*	FALSE	0.393660491309253
chr1	586146	586245	*	FALSE	0.423285590062746
chr1	778528	778976	*	FALSE	0.452715436919805
chr1	779100	779296	*	FALSE	0.282980212738588
chr1	850404	850638	*	FALSE	0.126727955620886
chr1	869720	870251	*	FALSE	0.393660491309253
chr1	904573	904964	*	FALSE	0.393660491309253
chr1	912620	913374	*	FALSE	0.472215832150128
chr1	919720	920040	*	FALSE	0.455971324910223
chr1	921129	921326	*	FALSE	0.393660491309253
chr1	922620	923320	*	FALSE	0.472215832150128
chr1	924740	925261	*	FALSE	0.393660491309253
chr1	925599	925780	*	FALSE	0.449357094863151
chr1	938020	938396	*	FALSE	0.393660491309253
chr1	938398	938697	*	FALSE	0.423285590062746
chr1	939198	939366	*	FALSE	0.472215832150128
chr1	940166	940530	*	FALSE	0.449357094863151
chr1	940532	940702	*	TRUE	1
chr1	941140	941536	*	FALSE	0.108355538448557
chr1	942468	942780	*	FALSE	0.169571411450964
chr1	945170	945455	*	FALSE	0.393660491309253
chr1	948089	948480	*	FALSE	0.117279758156881
chr1	951460	951620	*	FALSE	0.393660491309253
chr1	975941	976365	*	FALSE	0.393660491309253
chr1	976429	976753	*	FALSE	0.0425210120930239
chr1	984256	984482	*	FALSE	0.393660491309253
chr1	998579	999077	*	FALSE	0.161881437304536
chr1	999079	999400	*	FALSE	0.449357094863151
chr1	181300	181615	*	TRUE	1
chr1	869594	869693	*	TRUE	1
chr1	870380	870600	*	TRUE	1
chr1	904328	904571	*	TRUE	1
chr1	905205	905540	*	TRUE	1
chr1	919396	919680	*	TRUE	1
chr1	920823	921046	*	TRUE	1
chr1	921548	921647	*	TRUE	1
chr1	923370	923551	*	TRUE	1
chr1	925319	925432	*	TRUE	1
chr1	925820	926087	*	TRUE	1
chr1	938699	939120	*	TRUE	1
chr1	939940	940164	*	TRUE	1
chr1	940704	941109	*	TRUE	1
chr1	941538	941915	*	TRUE	1
chr1	944617	945160	*	TRUE	1
chr1	945555	946120	*	TRUE	1
chr1	951204	951365	*	TRUE	1
chr1	951952	952051	*	TRUE	1
chr1	984760	984864	*	TRUE	1
chr1	998108	998540	*	TRUE	1
